season,age,weight,shotsMade,shotsAttempted,threesMade,threesAttempted,rebounds,assists,steals,blocks,points
2015-16,26.7,220,38.2,84.6,8.5,24.1,43.8,22.3,7.8,5,102.7
2014-15,26.7,222,37.5,83.6,7.8,22.4,43.3,22,7.7,4.8,100
2013-14,26.5,222,37.7,83,7.7,21.5,42.7,22,7.7,4.7,101
2012-13,26.7,222,37.1,82,7.2,20,42.1,22.1,7.8,5.1,98.1
2011-12,26.6,223,36.5,81.4,6.4,18.4,42.2,21,7.7,5.1,96.3
2010-11,26.6,222,37.2,81.2,6.5,18,41.4,21.5,7.3,4.9,99.6
2009-10,26.6,221,37.7,81.7,6.4,18.1,41.7,21.2,7.2,4.9,100.4
2008-09,26.6,221,37.1,80.9,6.6,18.1,41.3,21,7.3,4.8,100
2007-08,26.8,220,37.3,81.5,6.6,18.1,42,21.8,7.3,4.7,99.9
2006-07,26.6,219,36.5,79.7,6.1,16.9,41.1,21.3,7.2,4.6,98.7
2005-06,26.5,220,35.8,79,5.7,16,41,20.6,7.2,4.7,97
2004-05,26.9,220,35.9,80.3,5.6,15.8,41.9,21.3,7.5,4.9,97.2
2003-04,27,220,35,79.8,5.2,14.9,42.2,21.3,7.9,5.1,93.4
2002-03,27.2,219,35.7,80.8,5.1,14.7,42.3,21.5,7.9,5,95.1
2001-02,27.4,218,36.2,81.3,5.2,14.7,42.4,21.9,7.8,5.2,95.5
2000-01,27.7,216,35.7,80.6,4.8,13.7,42.5,21.8,7.8,5.3,94.8
1999-00,27.8,216,36.8,82.1,4.8,13.7,42.9,22.3,7.9,5.2,97.5
1998-99,27.9,215,34.2,78.2,4.5,13.2,41.7,20.7,8.4,5,91.6
1997-98,27.7,214,35.9,79.7,4.4,12.7,41.5,22,8.4,5.1,95.6
1996-97,27.7,213,36.1,79.3,6,16.8,41.1,22,8.2,4.9,96.9
1995-96,27.5,213,37,80.2,5.9,16,41.3,22.7,8,5.1,99.5
1994-95,27.2,212,38,81.5,5.5,15.3,41.6,23.4,8.3,5.2,101.4
1993-94,27.2,210,39.3,84.4,3.3,9.9,43,24.4,8.9,5.2,101.5
1992-93,27.1,210,40.7,86,3,9,43.1,24.7,8.6,5.2,105.3
1991-92,27.2,208,41.3,87.3,2.5,7.6,43.7,24.5,8.6,5.5,105.3
1990-91,27.2,209,41.4,87.2,2.3,7.1,43.3,24.7,8.6,5.3,106.3
1989-90,27.1,208,41.5,87.2,2.2,6.6,43.1,24.9,8.5,5.1,107
1988-89,26.9,208,42.5,89,2.1,6.6,43.9,25.6,9.1,5.3,109.2
1987-88,26.9,209,42.1,87.7,1.6,5,43.4,25.8,8.5,5.4,108.2
1986-87,26.6,209,42.6,88.8,1.4,4.7,44,26,8.6,5.5,109.9
1985-86,26.8,208,43.2,88.6,0.9,3.3,43.6,26,8.8,5.3,110.2
1984-85,26.4,207,43.8,89.1,0.9,3.1,43.5,26.3,8.5,5.3,110.8
1983-84,26.4,206,43.5,88.4,0.6,2.4,43,26.2,8.5,5.3,110.1
1982-83,26.1,205,43.5,89.7,0.5,2.3,44.5,25.9,8.9,5.6,108.5
1981-82,26.2,205,43.3,88.2,0.6,2.3,43.5,25.2,8.5,5.4,108.6
1980-81,26.2,205,43,88.4,0.5,2,43.5,25.5,9,5.3,108.1
1979-80,26.4,204,43.6,90.6,0.8,2.8,44.9,25.8,9.4,5.3,109.3
